DOID	DIAGNOSIS_CD	category	detail
DOID:10933	F42	F42	
DOID:10933	F42.8	F42	8
DOID:10933	F42.9	F42	9
DOID:10934	F44.81	F44	81
DOID:10935	F44.9	F44	9
DOID:10935	F48.9	F48	9
DOID:10936	F60.1	F60	1
DOID:10937	F63.9	F63	9
DOID:10938	F60.0	F60	0
DOID:10939	F60.2	F60	2
DOID:10944	K14	K14	
DOID:10944	K14.9	K14	9
DOID:10952	N05	N05	
DOID:10952	N08	N08	
DOID:10955	B78	B78	
DOID:10955	B78.9	B78	9
DOID:10963	H71.00	H71	00
DOID:10963	H71.0	H71	0
DOID:10964	H71	H71	
DOID:10965	G80.1	G80	1
DOID:10966	N04	N04	
DOID:10971	N70.03	N70	03
DOID:10971	N70.0	N70	0
DOID:10972	N70.9	N70	9
DOID:10972	N70	N70	
DOID:10972	N70.93	N70	93
DOID:10973	N70.01	N70	01
DOID:10974	N70.92	N70	92
DOID:10976	N03.2	N03	2
DOID:1098	P55.9	P55	9
DOID:1098	P55	P55	
DOID:10986	M46.4	M46	4
DOID:10989	H11.41	H11	41
DOID:1099	D56.0	D56	0
DOID:10997	H25.09	H25	09
DOID:110	H27.9	H27	9
DOID:110	H25-H28	H25-H28	
DOID:11029	H11.15	H11	15
DOID:11030	H18.20	H18	20
DOID:11031	H18.1	H18	1
DOID:11032	H18.23	H18	23
DOID:11033	H18.22	H18	22
DOID:11037	F44.0	F44	0
DOID:11042	M05.0	M05	0
DOID:11042	M05.00	M05	00
DOID:11044	Q79.3	Q79	3
DOID:11049	P24.0	P24	0
DOID:11049	P24.00	P24	00
DOID:11049	P24.01	P24	01
DOID:11054	C67.9	C67	9
DOID:11054	C67	C67	
DOID:11055	A28.0	A28	0
DOID:11060	O44.0	O44	0
DOID:11060	O44	O44	
DOID:11077	A23.9	A23	9
DOID:11077	A23	A23	
DOID:11079	B88.3	B88	3
DOID:11080	B87.9	B87	9
DOID:11080	B87	B87	
DOID:11086	H31.0	H31	0
DOID:11086	H31.00	H31	00
DOID:11088	P84	P84	
DOID:11100	A78	A78	
DOID:11101	A79.0	A79	0
DOID:11102	A44.9	A44	9
DOID:11102	A44	A44	
DOID:11103	A79.1	A79	1
DOID:11104	A77.9	A77	9
DOID:11104	A77	A77	
DOID:11111	N13.30	N13	30
DOID:11119	F95.2	F95	2
DOID:11120	F52.6	F52	6
DOID:11121	K04.0	K04	0
DOID:11123	D69.0	D69	0
DOID:11125	D69.1	D69	1
DOID:11126	D69.5	D69	5
DOID:11130	I15.9	I15	9
DOID:11130	I15	I15	
DOID:11133	N42.83	N42	83
DOID:11134	H04.16	H04	16
DOID:11148	H40.82	H40	82
DOID:11149	H40.83	H40	83
DOID:1115	C49	C49	
DOID:11153	L74.2	L74	2
DOID:11153	L74.0	L74	0
DOID:11155	L74.4	L74	4
DOID:11156	L74.4	L74	4
DOID:11161	P28.5	P28	5
DOID:11162	J96.0	J96	0
DOID:11164	H18.42	H18	42
DOID:11168	A63.0	A63	0
DOID:11175	H05.4	H05	4
DOID:11175	H05.40	H05	40
DOID:11180	H65	H65	
DOID:11180	H65.9	H65	9
DOID:11180	H65.90	H65	90
DOID:11181	H65.2	H65	2
DOID:11181	H65.20	H65	20
DOID:11184	H10.02	H10	02
DOID:11186	B48.2	B48	2
DOID:11189	K04.2	K04	2
DOID:11190	H10.22	H10	22
DOID:11193	Q70	Q70	
DOID:11193	Q70.9	Q70	9
DOID:11195	J06.0	J06	0
DOID:11197	H10.23	H10	23
DOID:11198	D82.1	D82	1
DOID:11199	E20.9	E20	9
DOID:11199	E20	E20	
DOID:112	I85.01	I85	01
DOID:11201	E21.5	E21	5
DOID:11202	E21.0	E21	0
DOID:11203	H10.1	H10	1
DOID:11206	F11.1	F11	1
DOID:11212	Q15.0	Q15	0
DOID:11217	H73.1	H73	1
DOID:11217	H73.10	H73	10
DOID:11219	H10.01	H10	01
DOID:11230	H05.00	H05	00
DOID:11230	H05.0	H05	0
DOID:11231	H05.03	H05	03
DOID:11232	H05.02	H05	02
DOID:11234	H05.01	H05	01
DOID:11235	H74.1	H74	1
DOID:11239	C18.1	C18	1
DOID:11242	P61.1	P61	1
DOID:11243	P61.2	P61	2
DOID:11245	P61.5	P61	5
DOID:11246	P60	P60	
DOID:11247	D65	D65	
DOID:11249	E56.1	E56	1
DOID:11254	A75.1	A75	1
DOID:11256	A75.9	A75	9
DOID:11256	A75	A75	
DOID:11256	A75.2	A75	2
DOID:11256	A75.0	A75	0
DOID:11257	F40.1	F40	1
DOID:11257	F40.10	F40	10
DOID:11258	A28.1	A28	1
DOID:11260	A82.9	A82	9
DOID:11260	A82	A82	
DOID:11262	A70	A70	
DOID:11265	A71.9	A71	9
DOID:11265	A71	A71	
DOID:11265	A71.0	A71	0
DOID:11265	A71.1	A71	1
DOID:11266	A98.5	A98	5
DOID:11267	H18.44	H18	44
DOID:11269	K04.5	K04	5
DOID:11277	E05.2	E05	2
DOID:11282	H31.02	H31	02
DOID:11289	J67.7	J67	7
DOID:11294	I77.0	I77	0
DOID:11299	I65.0	I65	0
DOID:11302	B65.3	B65	3
DOID:11320	A98.2	A98	2
DOID:11328	F20.81	F20	81
DOID:11329	L94.6	L94	6
DOID:11330	A46	A46	
DOID:11335	D86	D86	
DOID:11335	D86.9	D86	9
DOID:11335	D80-D89	D80-D89	
DOID:11338	A35	A35	
DOID:11339	B59	B59	
DOID:1134	K06.0	K06	0
DOID:1134	K06.01	K06	01
DOID:1134	K06.010	K06	010
DOID:11342	H18.41	H18	41
DOID:11343	H15.9	H15	9
DOID:11343	H15	H15	
DOID:11353	N32.3	N32	3
DOID:11354	N21.0	N21	0
DOID:11355	N21.0	N21	0
DOID:11360	A93.1	A93	1
DOID:11364	H27.11	H27	11
DOID:11367	Q12.3	Q12	3
DOID:11371	K59.1	K59	1
DOID:11372	K59.3	K59	3
DOID:11372	K59.39	K59	39
DOID:11374	K59.4	K59	4
DOID:11379	B83.1	B83	1
DOID:11382	H16.4	H16	4
DOID:11382	H16.40	H16	40
DOID:11383	Q53.9	Q53	9
DOID:11385	F80.1	F80	1
DOID:11394	J80	J80	
DOID:11396	J81	J81	
DOID:11396	J81.1	J81	1
DOID:114	I51.9	I51	9
DOID:11400	N16	N16	
DOID:11400	N12	N12	
DOID:11400	N10-N16	N10-N16	
DOID:11406	H30.9	H30	9
DOID:1142	H50.15	H50	15
DOID:11424	N80.209	N80	209
DOID:11424	N80.2	N80	2
DOID:11428	N80.5	N80	5
DOID:11429	N80.3	N80	3
DOID:1143	H50.1	H50	1
DOID:1143	H50.10	H50	10
DOID:11430	N80.6	N80	6
DOID:11431	N80.4	N80	4
DOID:11432	N80.1	N80	1
DOID:11432	N80.109	N80	109
DOID:11457	G93.5	G93	5
DOID:11459	G93.2	G93	2
DOID:11472	C32.2	C32	2
DOID:11476	M81.0	M81	0
DOID:1148	Q69.9	Q69	9
DOID:1148	Q69	Q69	
DOID:11486	G90.2	G90	2
DOID:11488	G90.09	G90	09
DOID:11488	G90.0	G90	0
