NDC  NDC_format  NDC_10
00603145247	4-4-2	0603-1452-47
31722057390	5-3-2	31722-573-90
00093715598	4-4-2	0093-7155-98
26608000150	5-3-2	26608-001-50
00781400436	4-4-2	0781-4004-36
55289090030	5-3-2	55289-900-30
00591322126	4-4-2	0591-3221-26
00603385632	4-4-2	0603-3856-32
76439013410	5-3-2	76439-134-10
91899068410	5-3-2	91899-684-10
49281075221	5-3-2	49281-752-21
58864015930	5-3-2	58864-159-30
00172376210	4-4-2	0172-3762-10
55289090230	5-3-2	55289-902-30
49502060561	5-3-2	49502-605-61
00378171377	4-4-2	0378-1713-77
87701040238	5-3-2	87701-402-38
16590061562	5-3-2	16590-615-62
00228289611	4-4-2	0228-2896-11
63874031650	5-3-2	63874-316-50
00172376170	4-4-2	0172-3761-70
96295012818	5-3-2	96295-128-18
51079077821	5-3-2	51079-778-21
38396030118	5-3-2	38396-301-18
00087123945	4-4-2	0087-1239-45
54868111100	5-4-1	54868-1111-0
43169066869	5-3-2	43169-668-69
00006391568	4-4-2	0006-3915-68
23490647500	5-4-1	23490-6475-0
00603390021	4-4-2	0603-3900-21
52544021928	5-3-2	52544-219-28
00378818750	4-4-2	0378-8187-50
38703000128	5-3-2	38703-001-28
47463010790	5-3-2	47463-107-90
48107005123	5-3-2	48107-051-23
42192050830	5-3-2	42192-508-30
00065853110	4-4-2	0065-8531-10
00172435749	4-4-2	0172-4357-49
43292055850	5-3-2	43292-558-50
54569535800	5-4-1	54569-5358-0
00228266650	4-4-2	0228-2666-50
00228205710	4-4-2	0228-2057-10
66530025345	5-3-2	66530-253-45
00378102577	4-4-2	0378-1025-77
00904150161	4-4-2	0904-1501-61
98302014172	5-3-2	98302-141-72
72140000022	5-3-2	72140-000-22
10122080120	5-3-2	10122-801-20
63629124902	5-4-1	63629-1249-2
16590019412	5-3-2	16590-194-12
53885027150	5-3-2	53885-271-50
00904643459	4-4-2	0904-6434-59
00029609422	4-4-2	0029-6094-22
54868126801	5-4-1	54868-1268-1
90166043154	5-3-2	90166-431-54
00169330312	4-4-2	0169-3303-12
54868141800	5-4-1	54868-1418-0
52747030630	5-3-2	52747-306-30
11523723402	5-4-1	11523-7234-2
70860045110	5-3-2	70860-451-10
00023455430	4-4-2	0023-4554-30
69230032434	5-3-2	69230-324-34
58160086135	5-3-2	58160-861-35
68455010690	5-3-2	68455-106-90
66105515405	5-4-1	66105-5154-5
57866861501	5-4-1	57866-8615-1
63629260001	5-4-1	63629-2600-1
00781711735	4-4-2	0781-7117-35
63874084030	5-3-2	63874-840-30
64980012310	5-3-2	64980-123-10
24090049884	5-3-2	24090-498-84
00603243721	4-4-2	0603-2437-21
53885006150	5-3-2	53885-061-50
52544055228	5-3-2	52544-552-28
76329906100	5-4-1	76329-9061-0
00093545528	4-4-2	0093-5455-28
50458019416	5-3-2	50458-194-16
52959050630	5-3-2	52959-506-30
16590022730	5-3-2	16590-227-30
54868420000	5-4-1	54868-4200-0
00264957710	4-4-2	0264-9577-10
62037099910	5-3-2	62037-999-10
31604001079	5-3-2	31604-010-79
00169770521	4-4-2	0169-7705-21
52747020030	5-3-2	52747-200-30
99207051746	5-3-2	99207-517-46
55887050260	5-3-2	55887-502-60
00093540865	4-4-2	0093-5408-65
33358029415	5-3-2	33358-294-15
74312017139	5-3-2	74312-171-39
63629333904	5-4-1	63629-3339-4
00904533260	4-4-2	0904-5332-60
00536354710	4-4-2	0536-3547-10
66105012215	5-3-2	66105-122-15
